text,Custom-trained_Spacy_Person,Custom-trained_Spacy_Location,Pre-trained_Spacy_Person,Pre-trained_Spacy_Location;;
Stenographisches Protokoll,['Stenographisches Protokoll'],[],[],[];;
der,[],[],[],[];;
Verhandlungen,[],[],[],[];;
des,[],[],[],[];;
ten,[],['ten'],[],[];;
gresses,[],[],[],[];;
BASEL,[],['BASEL'],[],[];;
15. bis 18. August 1899.,[],[],[],[];;
WIEN, 1899.,[],['WIEN'],[],[];;
"Buchdruckerei Industrieœ, Wien. ” Verlag des Vereines Erez Israel.,[],""['Wien', 'Erez Israel']"",[],['Wien']";;
XXXXXXXX,[],[],[],[];;
”,[],[],[],[];;
-,[],[],[],[];;
un,[],[],[],[];;
1,[],[],[],[];;
sum,[],[],[],[];;
-,[],[],[],[];;
-,[],[],[],[];;
-,[],[],[],[];;
-,[],[],[],[];;
A,['A'],[],[],[];;
in,[],[],[],[];;
-,[],[],[],[];;
.,[],[],[],[];;
XXXXX,[],[],[],[];;
1. Tag.,[],[],[],[];;
15. August 1899.,[],[],[],[];;
Vormittagssitzung.),[],[],[],[];;
Beginn 10 Uhr vormittags.,[],['Beginn'],[],[];;
Vorsitzender: Präsident Dr. Theodor Herzl.,['Dr. Theodor Herzl'],[],['Theodor Herzl.'],[];;
Präsident Dr. Herz (besteigt die Estrade.,['Dr. Herz'],[],['Dr. Herz'],[];;
” Jubelnder, lang an,['Jubelnder'],[],[],[];;
haltender, sich immer wieder erneuernder Beifall und Händeklatschen,[],['Händeklatschen'],[],[];;
im Saale und auf der Gallerie.,['Gallerie'],[],[],['Saale'];;
” Die Versammlung erhebt sich.,[],[],[],[];;
Hätte und Tätcherschwenken. ” Frenetische Hochrufe.),['Hätte'],[],[],['Frenetische Hochrufe.'];;
Geehrte Congressmitglieder!,[],[],[],[];;
In der feierlichen Stunde, da sich die Abgeordneten des,[],[],[],[];;
jätdischen Volkes, aus weitesten Fernen kommend, hier vereinigen,,[],[],[],[];;
sei unser erstes Wort ein Dank an die schöne, freie Stadt, die,[],[],[],[];;
uns wieder gastlich aufnimmt. (Lebhafter Beifall und Händeklatschen.),[],['Händeklatschen'],[],[];;
Diese Dankbarkeit wird nicht nur von den hier Versammelten,[],[],[],[];;
empfunden, sondern auch von ihren Auftraggebern in sehr ent,[],[],[],[];;
"legenen Theilen der Welt. Basel, der Basler Congress, das Basler,""['Basler Congress', 'Basler']"",['Basel'],[],[]";;
”,[],[],[],[];;
Programm,['Programm'],[],[],[];;
diese Worte klingen unserem Volke heute schon,[],[],[],[];;
vertraut und bedeuten ihm einen Trost, eine Hoffnung.,[],[],[],[];;
Zum drittenmale sind wir hier, um die Beschwerden und,[],[],[],[];;
Wätnsche einer Nation zu erörtern, die wieder zum Leben er,[],[],[],[];;
4,[],[],[],[];;
wachen will. Es möchte anfangs scheinen, vielleicht scheint es,[],[],[],[];;
manchem auch jetzt noch so, als ob nicht viel damit gethan wäre,,[],[],[],[];;
dass wir hierherkommen und Reden halten, Reden voll von,[],[],[],[];;
Seufzern. Aber diese Zweifler ätbersehen, dass auch in anderen,[],[],[],[];;
Vertretungskörpern nur geredet wird. Und wer wird leugnen, dass,[],[],['Vertretungskörpern'],[];;
Reden von solcher Stelle den stärksten Einfluss auf Gegenwart,['Gegenwart'],[],[],[];;
und Zukunft des Volkes ausätben? Aus dieser Erkenntnis haben,[],['Erkenntnis'],[],[];;
wir uns bemätht, uns eine Stelle zu schaffen, von der unsere Worte,[],[],[],[];;
gehört werden: diese jätdische Tribätne!,[],[],[],[];;
Da unser Volk nicht in das Leben der Vorzeit zurätckkehren,,[],[],[],[];;
sondern zum Leben der Gegenwart erwachen soll, musste es vor,['Gegenwart'],[],[],[];;
allem solch ein modernes Organ erhalten, um den Willen zum,[],[],[],[];;
Dasein äussern zu können. Darum ist diese Tribätne ein kostbares,['Darum'],[],[],[];;
Gut, das wir uns erworben haben. Hätten wir es wohl!,[],[],[],[];;
Durch den Ernst und die Ruhe unserer Berathungen können,[],[],[],[];;
vir das Ansehen dieser Tribätne immer höher heben. Durch,[],[],[],[];;
Unbesonnenheit und Gezänke wätrden wir es rasch zerstören. Die,[],[],['Gezänke'],[];;
Tribätne wird so hoch sein wie die Reden, die man auf ihr hält.,[],[],[],[];;
Unseren Worten verleiht keine äussere Macht Nachdruck; wenn,[],['Unseren Worten'],[],[];
sie also irgend eine Bedeutung haben sollen, kann es nur von der,[],[],[],[];;
inneren Macht der Idee kommen und von der Reinheit der,[],[],[],[];;
Gesinnungen, welche hier verkätndet werden. Das muss sich jeder,[],[],[],[];;
von uns beständig vor Augen halten, wenn er hier fätr das jätdische,[],[],[],[];;
Volk und zum jätdischen Volke sprechen will.,['Volk'],[],[],[];;
Auch ein anderes. Wir sind hier nicht, um uns mit den,[],[],[],[];;
inneren Vorgängen der einzelnen Länder, deren Bätrger wir sind,,[],[],[],[];;
zu beschäftigen. Jeder solche Versuch wäre ein schwerer Fehler,[],[],[],[];;
und wätrde nur dazu dienen, falsche Vorstellungen von unserem,[],[],[],[];;
Congresse hervorzurufen. Wir sind hier lediglich, um ätber die Lage,[],[],['Congresse'],[];;
unseres Volkes zu berathen und eine ebenso gesetzliche wie,[],[],[],[];;
menschenfreundliche Lösung unter der Controle der öffentlichen,[],[],[],[];;
Meinung vorzubereiten. Dass wir nichts anderes vorhaben, das,[],[],[],[];;
wurde durch all unser bisheriges Thun und Lassen erhärtet. So,[],[],[],['Thun'];;
ziehen wir selbst unserem Wirken die unanfechtbaren Grenzen:,[],[],[],[];;
Wir wollen uns um das Wohl des jätdischen Volkes bemäthen.,[],[],[],[];;
(Stätrmischer Beifall und Händeklatschen.) Das ist unser Recht. Es,[],['Händeklatschen'],[],[];;
ist auch unsere Pflicht. (Erneuerter Beifall und Händeklatschen.),[],['Händeklatschen'],[],[];;
Dass diese Art, allgemeinen Schwierigkeiten durch einen,[],[],[],[];;
internationalen, freimätthigen Gedankenaustausch der Betheiligten,[],['Betheiligten'],[],[];;
beizukommen, dem sittlichen Bewusstsein der jetzigen Cultur,[],[],[],[];;
menschheit bereits entspricht, das konnte man wahrnehmen, als,[],[],[],[];;
"der Friedensvorschlag Sr. Majestät des Kaisers von Russland die,[],""['Friedensvorschlag Sr', 'Russland']"",[],['Russland']";;
Welt erfreute. (Lauter Beifall und anhaltendes Händeklatschen.,[],[],[],['Lauter'];;
Sie erinner sich, dass wir hier versammelt waren, als dieser,[],[],[],[];;
grossgedachte Vorschlag bekannt wurde, und dass der Zionisten,[],[],[],[];;
tongress die erste Körperschaft war, welche ihrer Begeisterung,[],[],[],[];;
5,[],[],[],[];;
Ausdruck geben konnte. Nun ist ein Jahr verstrichen. Die Friedens,[],['Jahr verstrichen.'],[],[];;
idee hat ihren Weg in die Wirklichkeit hinaus begonnen, und das,[],[],[],[];;
ist schon sehr viel, auch wenn sie noch nicht am Ziel ist.,[],[],[],[];;
Uns,[],[],[],[];;
aber mag das Beispiel als eine Lehre der Geduld dienen. Wenn,[],[],[],[];;
"die Grossen dieser Erde sich mit langsamen Fortschritten ihrer,[],['Erde'],[],""['Grossen', 'Erde']""";;
höchsten Ideen begnätgen, wie zufrieden mätssen wir armen Leute,[],[],[],[];;
sein, wenn wir feststellen können, dass es doch ein wenig vorwärts,[],[],[],[];;
geht. (Lebhafter Beifall und Händeklatschen.),[],['Händeklatschen'],[],[];;
Wir mätssten unsere Arbeit also unverdrossen fortsetzen,[],[],[],[];;
auch wenn es in dem abgelaufenen Jahre keine äusserlich merk-,[],[],[],[];;
baren Fortschritte gegeben hätte. (Bravo Bravo!) Auch wenn,['Bravo Bravo'],[],[],[];;
nichts vorgekommen wäre, was ein Erstarken unserer Bewegung.,[],[],[],[];;
einen Zuwachs ihres Anschens und ihrer Mittel bedeutete, mätssten,[],['Zuwachs'],[],[];;
wir unverdrossen fortarbeiten. (Allgemeine Zustimmung und,[],[],[],[];;
Applaus.),['Applaus'],[],[],[];;
Aber dieses Jahr ist kein schlechtes fätr unsere Bewegung,[],[],[],[];;
gewesen. Es war ein gutes Jahr. Wir haben einiges erreicht, wir,[],[],[],[];;
sind um ein Stätck weiter gekommen,[],[],[],[];;
Ein bedeutendes Ereignis, das von unseren Gegner wie,[],[],[],[];;
gewöhnlich theils verschwiegen und theils entstellt in die Oeffentlich,[],['Oeffentlich'],[],[];;
keit gebracht wurde, war der Empfang der zionistischen Ab,[],[],[],[];;
ordnung durch Se. Majestät, den deutschen Kaiser in Jerusalem. (Jubeln,['Se'],['Jerusalem'],[],['Jerusalem.'];;
der anhaltender Beifall, stätrmischer Applaus und Händeklatschen.),['Applaus'],['Händeklatschen'],[],[];;
Schon die Thatsache allein, dass der geniale Kaiser seine Auf,['Kaiser'],[],[],[];;
merksamkeit unserem Volksgedanken zugewendet hat, wäre ge,[],[],[],[];;
nätgend, uns einige Zuversicht zu geben. Geringfätgige Bewegungen,['Bewegungen'],[],[],[];;
werden aus solcher Höhe nicht bemerkt. Aber es ist mehr als,[],[],[],[];;
eine blosse Kenntnisnahme erfolgt. (Sehr richtig! Laute Zustimmung,[],[],[],[];;
und lebhafter Beifall.) Es wurde nicht irgendeine jätdische Deputa,[],[],[],[];;
tion, es wurden nicht die Mitglieder irgendeines praktischenœ,[],[],[],[];;
Colonisationsvereines empfangen, sondern die Abordnung des,[],[],[],[];;
zionistischen Actions-Comittees. (Stätrmischer Beifall.) Die Grätnde,[],[],[],[];;
und Ziele unserer Bewegung waren vorher genau bekannt,,[],[],[],[];;
und Seine Majestät der deutsche Kaiser hat uns daraufhin,[],[],[],[];;
an einem fätr das gesammte Judenthum denkwätrdigen Tage sein,[],[],[],['Judenthum'];;
wohlwollendes Interesse zugesichert. (Lebhafter, langanhaltender Beifall,[],[],[],[];;
