text,v2_Custom-trained_Spacy_Person,v2_Custom-trained_Spacy_Location,Pre-trained_Spacy_Person,Pre-trained_Spacy_Location
Stenographisches Protokoll,['Stenographisches Protokoll'],[],[],[]
der,[],[],[],[]
Verhandlungen,[],[],[],[]
des,[],[],[],[]
ten¬,[],[],[],[]
gresses,[],[],[],[]
BASEL,[],['BASEL'],[],[]
15. bis 18. August 1899.,[],[],[],[]
"WIEN, 1899.",[],['WIEN'],[],[]
"Buchdruckerei „Industrie“, Wien. — Verlag des Vereines „Erez Israel.",[],['Wien'],[],['Wien']
XXXXXXXX,[],[],[],[]
—,[],[],[],[]
-,[],[],[],[]
un,[],[],[],[]
1,[],[],[],[]
sum,[],[],[],[]
-,[],[],[],[]
-,[],[],[],[]
-,[],[],[],[]
-,[],[],[],[]
A,[],[],[],[]
in,[],[],[],[]
-,[],[],[],[]
.,[],[],[],[]
XXXXX,[],[],[],[]
1. Tag.,[],[],[],[]
15. August 1899.,[],[],[],[]
Vormittagssitzung.),[],[],[],[]
Beginn 10 Uhr vormittags.,[],['Beginn'],[],[]
Vorsitzender: Präsident Dr. Theodor Herzl.,['Dr. Theodor Herzl'],[],['Theodor Herzl.'],[]
Präsident Dr. Herz (besteigt die Estrade.,['Dr. Herz'],['Estrade'],['Dr. Herz'],[]
"— Jubelnder, lang an¬",[],[],[],[]
"haltender, sich immer wieder erneuernder Beifall und Händeklatschen",[],[],[],[]
im Saale und auf der Gallerie.,[],[],[],['Saale']
— Die Versammlung erhebt sich.,[],[],[],[]
Hüte und Tücherschwenken. — Frenetische Hochrufe.),['Frenetische Hochrufe'],['Hüte'],[],['Frenetische Hochrufe.']
Geehrte Congressmitglieder!,[],[],[],[]
"In der feierlichen Stunde, da sich die Abgeordneten des",[],[],[],[]
"jüdischen Volkes, aus weitesten Fernen kommend, hier vereinigen,",[],[],[],[]
"sei unser erstes Wort ein Dank an die schöne, freie Stadt, die",[],[],[],[]
uns wieder gastlich aufnimmt. (Lebhafter Beifall und Händeklatschen.),[],[],[],[]
Diese Dankbarkeit wird nicht nur von den hier Versammelten,[],[],[],[]
"empfunden, sondern auch von ihren Auftraggebern in sehr ent¬",[],[],[],[]
"legenen Theilen der Welt. Basel, der Basler Congress, das Basler","['Basler Congress', 'Basler']",['Basel'],[],[]
—,[],[],[],[]
Programm,['Programm'],[],[],[]
diese Worte klingen unserem Volke heute schon,[],[],[],[]
"vertraut und bedeuten ihm einen Trost, eine Hoffnung.",[],['Trost'],[],[]
"Zum drittenmale sind wir hier, um die Beschwerden und",[],[],[],[]
"Wünsche einer Nation zu erörtern, die wieder zum Leben er¬",[],[],[],[]
4,[],[],[],[]
"wachen will. Es möchte anfangs scheinen, vielleicht scheint es",[],[],[],[]
"manchem auch jetzt noch so, als ob nicht viel damit gethan wäre,",[],[],[],[]
"dass wir hierherkommen und Reden halten, Reden voll von",[],[],[],[]
"Seufzern. Aber diese Zweifler übersehen, dass auch in anderen",[],[],[],[]
"Vertretungskörpern nur geredet wird. Und wer wird leugnen, dass",['Vertretungskörpern'],[],['Vertretungskörpern'],[]
Reden von solcher Stelle den stärksten Einfluss auf Gegenwart,[],[],[],[]
und Zukunft des Volkes ausüben? Aus dieser Erkenntnis haben,[],['Erkenntnis'],[],[]
"wir uns bemüht, uns eine Stelle zu schaffen, von der unsere Worte",[],[],[],[]
gehört werden: diese jüdische Tribüne!,[],[],[],[]
"Da unser Volk nicht in das Leben der Vorzeit zurückkehren,",[],[],[],[]
"sondern zum Leben der Gegenwart erwachen soll, musste es vor",[],[],[],[]
"allem solch ein modernes Organ erhalten, um den Willen zum",[],[],[],[]
Dasein äussern zu können. Darum ist diese Tribüne ein kostbares,['Dasein'],[],[],[]
"Gut, das wir uns erworben haben. Hüten wir es wohl!",[],[],[],[]
Durch den Ernst und die Ruhe unserer Berathungen können,[],[],[],[]
vir das Ansehen dieser Tribüne immer höher heben. Durch,[],[],[],[]
Unbesonnenheit und Gezänke würden wir es rasch zerstören. Die,[],['Gezänke'],['Gezänke'],[]
"Tribüne wird so hoch sein wie die Reden, die man auf ihr hält.",[],[],[],[]
Unseren Worten verleiht keine äussere Macht Nachdruck; wenn,[],[],[],[]
"sie also irgend eine Bedeutung haben sollen, kann es nur von der",[],[],[],[]
inneren Macht der Idee kommen und von der Reinheit der,[],[],[],[]
"Gesinnungen, welche hier verkündet werden. Das muss sich jeder",[],[],[],[]
"von uns beständig vor Augen halten, wenn er hier für das jüdische",[],[],[],[]
Volk und zum jüdischen Volke sprechen will.,[],[],[],[]
"Auch ein anderes. Wir sind hier nicht, um uns mit den",[],[],[],[]
"inneren Vorgängen der einzelnen Länder, deren Bürger wir sind,",[],[],[],[]
zu beschäftigen. Jeder solche Versuch wäre ein schwerer Fehler,[],[],[],[]
"und würde nur dazu dienen, falsche Vorstellungen von unserem",[],[],[],[]
"Congresse hervorzurufen. Wir sind hier lediglich, um über die Lage",[],[],['Congresse'],[]
unseres Volkes zu berathen und eine ebenso gesetzliche wie,[],[],[],[]
menschenfreundliche Lösung unter der Controle der öffentlichen,[],[],[],[]
